index,author,born,death
0,Adam Ferguson,1723,1816
1,Adam Smith  ,1723,1790
2,Aeschylus,525,10000
3,Aesop,10000,10000
4,Alan Seeger,1888,1916
5,Alexander H.japp,1839,1905
6,Alexander Hamilton,1755,1804
7,Alexandre Dumas,1802,1870
8,Alfred Marshall  ,1842,1924
9,Alfred Tennyson,1809,1892
10,Alice Meynell,1847,1924
11,Ambrose Bierce,1842,1914
12,Amy Lowell,1874,1925
13,Anatole France,1921,1924
14,Andrew Barton Paterson,1864,1941
15,Andrew Dickson White,1832,1918
16,Andrew Lang,1844,1912
17,Andrew Steinmetz,1816,1877
18,Anna Howard Shaw,1847,1919
19,Anna Sewell,1820,1878
20,Anne Bronte,1820,1849
21,Anne-robert-jacques Turgot  ,1727,1781
22,Anthony Hope,1863,1933
23,Antony Trollope,1815,1882
24,Aristophanes,450,10000
25,Aristotle,384,10000
26,Arnold Toynbee  ,1852,1883
27,B.m.bower,1874,1940
28,Baroness Emmuska Orczy,1865,1947
29,Bayard Taylor,1825,1878
30,Beatrix Potter,1866,1943
31,Benedict De Spinoza,1632,1677
32,Benjamin Cardozo,1870,1938
33,Benjamin Franklin,1706,1790
34,Booth Tarkington,1869,1946
35,Bram Stoker,1847,1912
36,Bret Harte,1836,1902
37,C.j.cutcliffe Hyne,1865,1944
38,Carlo Collodi,1826,1890
39,Chales Brockden Brown,1771,1810
40,Charles Babbage  ,1791,1871
41,Charles Darwin,1809,1882
42,Charles Dickens,1812,1870
43,Charles Eastman,1858,1939
44,Charles Kingsley,1819,1875
45,Charles Lamb,1775,1834
46,Charles Oliver,1858,1932
47,Charles W.chesnutt,1858,1932
48,Charlotte Bronte,1816,1855
49,Christopher Marlowe,1564,1593
50,D. H. Lawrence,1855,1930
51,Daniel Defoe,1661,1731
52,Dante Alighieri,1265,1321
53,David Graham Phillips,1867,1911
54,David Hume  ,1711,1776
55,David Livingstone,1813,1873
56,David Ricardo ,1772,1823
57,Don Marquis,1878,1937
58,Donald Mackenzie Wallace,1841,1919
59,E.nesbit,1858,1924
60,Edgar Aiien Poe,1809,1849
61,Edith Wharton  ,1862,1937
62,Edward Bellamy,1850,1898
63,Edward George Bulwer-lytton,1808,1973
64,Edward Gibbon  ,1737,1794
65,Edward Lear,1812,1888
66,Edward Misseldon,1608,1654
67,Edward S.ellis,1840,1916
68,Edwin A.abbott,1838,1926
69,Edwin Arlington Robinson,1869,1935
70,Edwin L.arnold,1832,1904
71,Eleanor H.porter,1868,1920
72,Elizabeth C. Gaskell  ,1810,1865
73,Ellen Key,1849,1926
74,Emile Zola,1840,1902
75,Emily Bronte,1818,1848
76,Enrico Ferri,1856,1929
77,Ernest Bramah,1868,1942
78,Ernest Thompson Seton,1860,1946
79,Eugen Bohm-bawerk  ,1851,1914
80,Eugene Field,1850,1895
81,Euripides,480,10000
82,F.scott Fitzgerald,1896,1940
83,Frances E.w.harper,1825,1911
84,Frances Hodgson Burnett,1894,1924
85,Francis Bacon  ,1561,1626
86,Francis Rabelais,1494,1553
87,Francis Thompson,1859,1907
88,Frank L.dyer,1870,1941
89,Frank Norris,1870,1902
90,Frank Stockton,1834,1902
91,Frederic Douglass,1817,1895
92,Frederick Engles,1820,1895
93,Frederick W. Taylor ,1856,1915
94,Friedrich List ,1789,1846
95,Friedrich Wieser,1851,1926
96,Fyodor Dostoevsky,1821,1881
97,G.k.chesterton,1874,1936
98,Gene Stratton-porter,1863,1924
99,George Borrow,1803,1881
100,George Byron ,1788,1824
101,George Eliot,1819,1880
102,George Gissing,1857,1903
103,George Grossmith,1847,1912
104,George Macdonald,1824,1905
105,George Meredith,1818,1909
106,George W.crile,1864,1943
107,Giovanni Boccaccio ,1313,1375
108,Gustave Flaubert,1821,1880
109,Guy De Maupassant,1850,1893
110,H. G. Wells  ,1866,1946
111,H.h.munro (saki),1870,1916
112,H.rider Haggard,1856,1925
113,Hall Caine,1853,1931
114,Hans C. Andersen,1805,1875
115,Harold Frederic,1856,1898
116,Harriet Beecher Stowe,1811,1896
117,Hendrik Van Loon,1882,1944
118,Henry David Thoreau,1817,1862
119,Henry Fielding,1707,1754
120,Henry J.coke,1827,1916
121,Henry James,1843,1916
122,Henry Kendall,1839,1882
123,Henry Lawson,1867,1922
124,Henry Summer Maine  ,1822,1888
125,Herbert Spencer  ,1820,1903
126,Herman Melville ,1819,1891
127,Hippocrates,460,10000
128,Hjalmar Hjorth Boyesen,1848,1895
129,Homer,10000,10000
130,Honore De Balzac,1799,1850
131,Horace Walpole,1717,1797
132,Horatio Alger,1832,1899
133,Howard Pyle,1853,1911
134,Hugh Lofting,1886,1947
135,Issac Taylor Headland,1859,1942
136,J.c.f.schiller,1759,1805
137,J.c.l.simonde De Sismondi,1773,1842
138,J.m.synge,1871,1909
139,Jack London,1876,1916
140,Jacob Vanderlint,10000,1740
141,James Boswell,1740,1795
142,James Fenimore Cooper,1790,1851
143,James Joyce,1882,1941
144,James Russell Lowell,1819,1891
145,James Steuart,1712,1780
146,Jane Addams,1860,1935
147,Jane Austen,1775,1817
148,Jean- Jacques Rousseau ,1712,1778
149,Jeremy Bentham  ,1748,1832
150,Jerome K.jerome,1859,1927
151,Johann W. Goethe ,1749,1832
152,John Buchan,1875,1940
153,John Bunyan,1628,1688
154,John Fiske,1842,1901
155,John Galt,1779,1839
156,John Greenleaf Whittier,1807,1892
157,John Keats,1795,1821
158,John Keats ,1795,1821
159,John Locke  ,1632,1704
160,John Maynard Keynes  ,1883,1946
161,John Milton,1608,1674
162,John Muir,1838,1914
163,John Philip Sousa,1854,1932
164,John Ruskin,1819,1900
165,John S. Mill  ,1806,1873
166,Jonathan Swift,1667,1745
167,Joseph Conrad  ,1857,1924
168,Joyce Kilmer,1886,1918
169,Jules Verne,1828,1905
170,Karl Marx,1818,1883
171,Kate Chopin,1851,1904
172,Kate Douglas Wiggin,1856,1923
173,Katherine Mansfield,1888,1923
174,Kenneth Grahame,1859,1932
175,L.f.baum,1856,1919
176,L.maud Montgomery,1874,1942
177,Lafcadio Hearn,1850,1904
178,Laurence Sterne,1713,1768
179,Leo Tolstoy  ,1828,1910
180,Lewis Carrol,1832,1898
181,Louise May Alcott,1832,1888
182,Ludovico Ariosto,1474,1533
183,Lytton Strachey,1880,1932
184,M.l.weems,1759,1825
185,M.y.lermontov,1814,1841
186,Madame De La Fayette,1643,1693
187,Marcus Annaeus Lucanus,39,65
188,Marie L.mclaughlin,1842,1933
189,Mark Twain  ,1835,1910
190,Marrian Michelson,1870,1942
191,Martin Luther,1483,1546
192,Mary Hunter Austin,1868,1934
193,Mary W. Shelly,1797,1851
194,Mary Wollstonecraft,1759,1797
195,Mattew Lewis,1775,1818
196,Matthew Hale  ,1609,1676
197,Maurice Leblanc,1864,1941
198,Miguel De Cervantes ,1547,1616
199,Mrs.sutherland Orr,1828,1903
200,Nan,10000,10000
201,Nathaniel Hawthorne,1804,1864
202,Nicolo Machiavelli,1469,1527
203,Nikolai Vasilievich Gogol,1809,1852
204,O.henry,1862,1910
205,Oliver Goldsmith,1730,1774
206,Oliver Optic,1822,1897
207,Oliver Schreiner,1855,1920
208,Oliver Wendell Holmes,1809,1894
209,Omar Khayam,1048,1122
210,Oscar Wilde  ,1854,1900
211,Owen Wister,1860,1938
212,P. Cornelius Tacitus,56,10000
213,Paul Vinogradoff  ,1854,1925
214,Percival Lowell,1855,1916
215,Pierre-joseph Proudhon  ,1809,1865
216,Plato,10000,10000
217,Plutarch,46,10000
218,R.d.blackmore,1825,1900
219,R.m.ballantyne,1825,1894
220,Ralph Waldo Emerson,1803,1882
221,Rebecca Harding Davis,1831,1910
222,Richard Cantillon  ,1680,1734
223,Richard Lovelace,1618,1657
224,Robert Browning,1812,1889
225,Robert Burns,1759,1796
226,Robert Louis Stevenson,1850,1894
227,Robert Owen  ,1771,1858
228,Robert Southey,1774,1843
229,Rudyard Kipling,1865,1936
230,Rupert C.brooke,1887,1915
231,Russell H.conwell,1843,1925
232,S.weir Mitchell,1829,1914
233,Samuel Johnson,1709,1784
234,Samuel Smiles,1812,1904
235,Samuel Taylor Coleridge,1772,1834
236,Sara Teasdale,1884,1933
237,Sarah Orne Jewett,1849,1909
238,Sarojini Naidu,1879,1949
239,Sherwood Anderson,1876,1941
240,Sidney Lanier,1842,1881
241,Sigmund Freud,1865,1939
242,Sir Arthur Conan Doyle,1859,1930
243,Sophocles,496,10000
244,Stephen Crane,1871,1900
245,Stewart Edward White,1873,1946
246,Susanna Rowson,1762,1824
247,Theodore Dreiser,1871,1945
248,Thomas Babbington Macaulay,1800,1859
249,Thomas Carlyle,1795,1881
250,Thomas Hardy,1840,1928
251,Thomas Hobbes  ,1588,1679
252,Thomas Jefferson,1743,1826
253,Thomas Love Peacock,1785,1866
254,Thomas Malory,1405,1471
255,Thomas More,1478,1535
256,Thomas Mun,1571,1641
257,Thomas Nelson Page,1853,1922
258,Thomas Paine,1737,1809
259,Thomas R. Malthus,1766,1834
260,Thorstein Veblen  ,1857,1929
261,Thucydides,10000,10000
262,Tingfang Wu,1842,1922
