index,file_id,book_id,chapter
152,152,623,Nan
216,216,27,Nan
218,218,35,Nan
298,298,209,Nan
299,299,282,Nan
472,472,589,Nan
475,475,999,Nan
476,476,335,Nan
537,537,1030,Nan
654,654,711,Nan
665,665,351,Nan
676,676,265,Nan
680,680,592,Nan
744,744,375,Nan
766,766,142,Nan
800,800,723,Book Viii
801,801,723,Book Iii
802,802,723,Book Vii
803,803,723,Book Vi
804,804,723,Book V
805,805,723,Book Ix
806,806,723,Index
807,807,723,Book Ii
808,808,723,Book I
809,809,723,Book X
810,810,723,Book Iv
811,811,723,Book Xii
812,812,723,Book Xi
3502,2926,695,Chapter09
3503,2927,695,Chapter08
3504,2928,695,Index
3505,2929,695,Preface
3506,2930,695,Chapter03
3507,2931,695,Chapter16
3508,2932,695,Chapter02
3509,2933,695,Chapter14
3510,2934,695,Chapter01
3511,2935,695,Chapter15
3512,2936,695,Chapter11
3513,2937,695,Chapter05
3514,2938,695,Chapter04
3515,2939,695,Chapter10
3516,2940,695,Chapter06
3517,2941,695,Chapter12
3518,2942,695,Chapter13
3519,2943,695,Chapter07
3520,2944,226,Index
3521,2945,226,A Letter
3522,2946,226,To The Reader
3523,2947,226,Footnotes
3524,9256,226,Part3-chapter09
3525,9257,226,Part3-chapter08
3526,9258,226,Part3-chapter03
3527,9259,226,Part3-chapter02
3528,9260,226,Part3-chapter01
3529,9261,226,Part3-chapter11
3530,9262,226,Part3-chapter05
3531,9263,226,Part3-chapter04
3532,9264,226,Part3-chapter10
3533,9265,226,Part3-chapter06
3534,9266,226,Part3-chapter07
3535,9267,226,Part4-chapter09
3536,9268,226,Part4-chapter08
3537,9269,226,Part4-chapter03
3538,9270,226,Part4-chapter02
3539,9271,226,Part4-chapter01
3540,9272,226,Part4-chapter11
3541,9273,226,Part4-chapter05
3542,9274,226,Part4-chapter04
3543,9275,226,Part4-chapter10
3544,9276,226,Part4-chapter06
3545,9277,226,Part4-chapter12
3546,9278,226,Part4-chapter07
3547,9279,226,Part2-chapter08
3548,9280,226,Part2-chapter03
3549,9281,226,Part2-chapter02
3550,9282,226,Part2-chapter01
3551,9283,226,Part2-chapter05
3552,9284,226,Part2-chapter04
3553,9285,226,Part2-chapter06
3554,9286,226,Part2-chapter07
3555,9287,226,Part1-chapter08
3556,9288,226,Part1-chapter03
3557,9289,226,Part1-chapter02
3558,9290,226,Part1-chapter01
3559,9291,226,Part1-chapter05
3560,9292,226,Part1-chapter04
3561,9293,226,Part1-chapter06
3562,9294,226,Part1-chapter07
3563,2948,829,To-
3564,2949,829,Index
3565,2950,829,Volume04
3566,2951,829,Volume01
3567,2952,829,Volume02
3568,2953,829,Volume03
4344,3674,578,Poor Richard Improved- 1750
4345,3675,578,Poor Richard Improved- 1751
4346,3676,578,Poor Richard Improved- 1753
4347,3677,578,Poor Richard Improved- 1752
4348,3678,578,Poor Richard Improved- 1756
4349,3679,578,Poor Richard Improved- 1757
4350,3680,578,Poor Richard Improved- 1755
4351,3681,578,Poor Richard Improved- 1754
4352,3682,578,Index
4353,3683,578,Poor Richard- 1738
4354,3684,578,Poor Richard- 1739
4355,3685,578,Poor Richard- 1737
4356,3686,578,Poor Richard- 1736
4357,3687,578,Poor Richard- 1734
4358,3688,578,Poor Richard- 1735
4359,3689,578,Poor Richard- 1733
4360,3690,578,Poor Richard- 1740
4361,3691,578,Poor Richard- 1741
4362,3692,578,Poor Richard Improved- 1758
4363,3693,578,Poor Richard- 1743
4364,3694,578,Poor Richard- 1742
4365,3695,578,Poor Richard- 1746
4366,3696,578,Poor Richard- 1747
4367,3697,578,Poor Richard Improved- 1748
4368,3698,578,Poor Richard- 1745
4369,3699,578,Poor Richard- 1744
4370,3700,578,Poor Richard Improved- 1749
4371,3701,687,Part8
4372,3702,687,Intro
4373,3703,687,Index
4374,3704,687,Part2
4375,3705,687,Part3
4376,3706,687,Part1
4377,3707,687,Part4
4378,3708,687,Part5
4379,3709,687,Part7
4380,3710,687,Part6
4381,3711,798,Book09
4382,3712,798,Book08
4383,3713,798,Book18
4384,3714,798,Index
4385,3715,798,Book14
4386,3716,798,Book15
4387,3717,798,Book01
4388,3718,798,Book17
4389,3719,798,Book03
4390,3720,798,Book02
4391,3721,798,Book16
4392,3722,798,Book12
4393,3723,798,Book06
4394,3724,798,Book07
4395,3725,798,Book13
4396,3726,798,Book05
4397,3727,798,Book11
4398,3728,798,Book10
4399,3729,798,Book04
7337,6218,374,Part8
7338,6219,374,Index
7339,6220,374,Part2
7340,6221,374,Part3
7341,6222,374,Part1
7342,6223,374,Part4
7343,6224,374,Part5
7344,6225,374,Part7
7345,6226,374,Part6
7346,6227,20,Index
7347,6228,20,Part2
7348,6229,20,Part3
7349,6230,20,Part1
7350,6231,20,Part4
7351,6232,20,Part5
7352,6233,20,Part6
7353,6234,605,Robin1
7354,6235,605,Index
7355,6236,605,Robin7
7356,6237,605,Robin6
7357,6238,605,Robin5
7358,6239,605,Robin4
7359,6240,605,Robin8
7360,6241,605,Robin3
7361,6242,605,Robin2
7362,6243,606,Chapter09
7363,6244,606,Chapter08
7364,6245,606,Index
7365,6246,606,Chapter03
7366,6247,606,Chapter16
7367,6248,606,Chapter02
7368,6249,606,Chapter14
7369,6250,606,Chapter01
7370,6251,606,Chapter15
7371,6252,606,Chapter11
7372,6253,606,Chapter05
7373,6254,606,Chapter04
7374,6255,606,Chapter10
7375,6256,606,Chapter06
7376,6257,606,Chapter12
7377,6258,606,Chapter13
7378,6259,606,Chapter07
8215,6913,323,Index
8216,6914,323,Preface
8217,6915,323,Introduction
8218,6916,323,Part01
8219,6917,323,Part03
8220,6918,323,Part02
8221,6919,323,Part05
8222,6920,323,Part04
8223,6921,566,Index
8224,6922,566,1795
8225,6923,566,1781
8226,6924,566,1780
8227,6925,566,1794
8228,6926,566,1782
8229,6927,566,1796
8230,6928,566,1783
8231,6929,566,1787
8232,6930,566,1793
8233,6931,566,1792
8234,6932,566,1786
8235,6933,566,1790
8236,6934,566,1784
8237,6935,566,1785
8238,6936,566,1791
8239,6937,566,1788
8240,6938,566,1789
8241,6939,566,Glossary
8242,6940,566,Preface
8243,6941,566,1771-1779
9541,8139,246,Chapter41
9542,8140,246,Chapter40
9543,8141,246,Chapter42
9544,8142,246,Chapter43
9545,8143,246,Index
9546,8144,246,Chapter47
9547,8145,246,Chapter46
9548,8146,246,Chapter44
9549,8147,246,Chapter45
9550,8148,246,Chapter48
9551,8149,246,Chapter39
9552,8150,245,Chapter36
9553,8151,245,Chapter37
9554,8152,245,Chapter35
9555,8153,245,Chapter34
9556,8154,245,Chapter30
9557,8155,245,Chapter31
9558,8156,245,Chapter27
9559,8157,245,Chapter33
9560,8158,245,Chapter32
9561,8159,245,Index
9562,8160,245,Chapter28
9563,8161,245,Chapter29
9564,8162,245,Chapter38
9565,8163,244,Chapter22
9566,8164,244,Chapter23
9567,8165,244,Chapter21
9568,8166,244,Chapter20
9569,8167,244,Chapter24
9570,8168,244,Chapter18
9571,8169,244,Chapter19
9572,8170,244,Chapter25
9573,8171,244,Chapter26
9574,8172,244,Index
9575,8173,244,Chapter17
9576,8174,244,Chapter16
9577,8175,247,Chapter55
9578,8176,247,Chapter54
9579,8177,247,Chapter56
9580,8178,247,Chapter57
9581,8179,247,Index
9582,8180,247,Chapter53
9583,8181,247,Chapter52
9584,8182,247,Chapter50
9585,8183,247,Chapter51
9586,8184,247,Chapter49
9587,8185,247,Chapter58
9588,8186,248,Chapter69
9589,8187,248,Chapter68
9590,8188,248,Index
9591,8189,248,Chapter60
9592,8190,248,Chapter61
9593,8191,248,Chapter63
9594,8192,248,Chapter62
9595,8193,248,Chapter66
9596,8194,248,Chapter67
9597,8195,248,Chapter65
9598,8196,248,Chapter71
9599,8197,248,Chapter59
9600,8198,248,Chapter70
9601,8199,248,Chapter64
9602,8200,243,Chapter09
9603,8201,243,Chapter08
9604,8202,243,Intro
9605,8203,243,Index
9606,8204,243,Preface To V-1
9607,8205,243,Preface Of The Author
9608,8206,243,Chapter03
9609,8207,243,Chapter02
9610,8208,243,Chapter14
9611,8209,243,Chapter01
9612,8210,243,Chapter15
9613,8211,243,Chapter11
9614,8212,243,Chapter05
9615,8213,243,Chapter04
9616,8214,243,Chapter10
9617,8215,243,Chapter06
9618,8216,243,Chapter12
9619,8217,243,Chapter13
9620,8218,243,Chapter07
9644,8242,1071,Index
9645,8243,1071,Wealbk05
9646,8244,1071,Wealbk04
9647,8245,1071,Wealbk01
9648,8246,1071,Wealbk03
9649,8247,1071,Wealbk02
9650,8248,964,Index
9651,8249,964,Part01
9652,8250,964,Part03
9653,8251,964,Part02
9654,8252,964,Part06
9655,8253,964,Part07
9656,8254,964,Part05
9657,8255,964,Part04
9658,8256,79,Index
9659,8257,79,Book01
9660,8258,79,Book03
9661,8259,79,Book02
9662,8260,79,Book05
9663,8261,79,Book04
9778,8376,188,Index
9779,8377,188,Of Superstition And Enthusiasm
9780,8378,188,Of The Standard Of Taste
9781,8379,188,Of The Liberty Of The Press
9782,8380,188,Of The Delicacy Of Taste And Passion
9783,8381,188,Of Essay Writing
9784,8382,188,Of Tragedy
9785,8383,188,Of The Rise And Progress Of The Arts And Sciences
9924,8443,183,Index
9925,8444,183,Essay1
9926,8445,183,Essay2
9927,8446,183,Essay3
10085,8604,72,Index
10086,8605,72,Introduction
10087,8606,72,Book01
10088,8607,72,Book03
10089,8608,72,Book02
10090,8609,72,Book04
