index,file_id,book_id,chapter
0,0,943,Nan
1,1,54,Nan
2,2,681,25-khalifah
3,3,681,Entertainments
4,4,681,02-the Fishmerman And The Jinni
5,5,681,31-conclusion
6,6,681,06-the Second Kalandar's Tale
7,7,681,26-abu Kir
8,8,681,16-sindbad The Seaman
9,9,681,07-the Third Kalandar's Tale
10,10,681,28-story Of The Larrikin
11,11,681,03-the Tale Of The Ensorceled Prince
12,12,681,18-second Voyage
13,13,681,01-the Tale Of The Bull And The Ass
14,14,681,12-the Man Who Stole The Dish
15,15,681,09-the Tale Of The Three Apples
16,16,681,21-fifth Voyage
17,17,681,10-tale Of Nur Al-din Ali And Son Badr Al-din Hasan
18,18,681,Index
19,19,681,17-first Voyage
20,20,681,24-the Lady And Her Five Suttors
21,21,681,22-sixth Voyage
22,22,681,20-fourth Voyage
23,23,681,27-sleeper And Waker
24,24,681,19-third Voyage
25,25,681,14-the Ebony House
26,26,681,11-the City Of Many-columned
27,27,681,13-the Ruined Man
28,28,681,04-the Porter And The Three Ladies Of Baghdad
29,29,681,08-the Eldest Lady's Tale
30,30,681,29-aladdin
31,31,681,15-the Angel Of Death
32,32,681,23-seventh Voyage
33,33,681,05-the First Kalandar's Tale
34,34,681,30-ali Baba
44,44,973,Nan
45,45,177,Nan
46,46,94,Nan
47,47,411,Nan
48,48,553,Nan
49,49,58,Nan
50,50,664,Nan
51,51,341,Nan
52,52,773,Nan
53,53,717,Nan
54,54,748,Nan
55,55,965,Nan
56,56,698,Nan
57,57,537,Nan
58,58,998,Nan
59,59,558,Nan
60,60,820,Nan
61,61,933,Nan
62,62,584,Nan
63,63,55,Nan
64,64,716,Nan
65,65,189,Nan
66,66,879,Nan
76,76,777,Nan
77,77,670,Nan
80,80,975,Nan
81,81,270,Nan
82,82,239,Nan
83,83,692,Nan
84,84,230,Nan
85,85,360,Nan
86,86,272,Nan
87,87,59,Nan
88,88,273,Nan
89,89,87,Nan
90,90,881,Nan
677,677,241,Nan
695,695,430,Nan
696,696,420,Nan
697,697,422,Nan
698,698,583,Nan
699,699,418,Nan
700,700,428,Nan
701,701,425,Nan
702,702,423,Nan
703,703,439,Nan
704,704,579,Nan
705,705,367,Nan
706,706,427,Nan
707,707,436,Nan
708,708,573,Nan
709,709,130,Nan
710,710,686,Nan
711,711,426,Nan
712,712,417,Nan
713,713,432,Nan
719,719,437,Nan
720,720,412,Nan
721,721,705,Nan
722,722,869,Nan
723,723,435,Nan
724,724,97,Nan
742,742,413,Nan
747,747,680,Nan
748,748,237,Nan
749,749,85,Nan
750,750,56,Nan
751,751,419,Nan
752,752,749,Nan
753,753,958,Nan
754,754,951,Nan
755,755,712,Nan
756,756,424,Nan
757,757,889,Nan
772,772,149,Nan
773,773,935,Nan
774,774,301,Nan
775,775,340,Nan
776,776,271,Nan
777,777,365,Nan
778,778,585,Nan
779,779,642,Nan
780,780,552,Nan
781,781,219,Nan
782,782,533,Nan
783,783,650,Nan
784,784,636,Nan
785,785,134,Nan
786,786,1013,Nan
787,787,547,Nan
788,788,548,Nan
789,789,1021,Nan
790,790,127,Nan
791,791,137,Nan
792,792,95,Nan
1366,1351,807,Book09
1367,1352,807,Book21
1368,1353,807,Book20
1369,1354,807,Book08
1370,1355,807,Book22
1371,1356,807,Book23
1372,1357,807,Book24
1373,1358,807,Book18
1374,1359,807,Book19
1375,1360,807,Index
1376,1361,807,Book14
1377,1362,807,Book15
1378,1363,807,Book01
1379,1364,807,Book17
1380,1365,807,Book03
1381,1366,807,Book02
1382,1367,807,Book16
1383,1368,807,Book12
1384,1369,807,Book06
1385,1370,807,Book07
1386,1371,807,Book13
1387,1372,807,Book05
1388,1373,807,Book11
1389,1374,807,Book10
1390,1375,807,Book04
1391,1376,871,Book09
1392,1377,871,Book21
1393,1378,871,Book20
1394,1379,871,Book08
1395,1380,871,Book22
